step,headed_mean_Theta,unheaded_mean_Theta,headed_rms,unheaded_rms,headed_bursts,unheaded_bursts
279,3.1427532549321895,3.161008376964419,0.9734553813963063,1.1069176532184246,0,0
280,3.134203154189984,3.161019619022104,0.9828370198934785,1.1073300589307211,0,0
281,3.1542360047452553,3.1610308362946995,1.0007424141814207,1.107742700136117,0,0
282,3.1256688425183996,3.1610420290723646,1.0210498068459277,1.1081555748258176,0,0
283,3.16051139511439,3.1610531976414156,1.052548706791018,1.1085686809929745,0,0
284,3.1209787828038587,3.161064342284335,1.0786029097644285,1.108982016632734,0,0
285,3.164455677903696,3.1610754632797806,1.1177723847024725,1.1093955797422805,0,0
286,3.117067582485214,3.1610865609025915,1.144814943952738,1.1098093683208796,0,0
287,3.1690232792761073,3.161097635423797,1.1843965460579855,1.11022338036992,0,0
288,3.1120608985431253,3.161108687110626,1.2073745583419595,1.110637613892953,0,0
289,3.1750465761863906,3.161119716226517,1.2400417383574294,1.1110520668957327,0,0
290,3.105724839348634,3.161130723031126,1.2546175183717703,1.111466737386253,0,0
291,3.1820267840425793,3.1611417077803394,1.271882280914899,1.1118816233747835,0,0
292,3.099048483795413,3.1611526707262816,1.2749828688338902,1.1122967228739056,0,0
293,3.187670550514883,3.161163612117331,1.2685986046167967,1.112712033898545,0,0
294,3.094444743798448,3.161174532198126,1.2603718748650778,1.1131275544660038,0,0
295,3.1903601240246853,3.1611854312095815,1.229789279332886,1.113543282595991,0,0
296,3.0924177585836237,3.161196309388902,1.2136634442849537,1.1139592163106522,0,0
297,3.1911478080103914,3.161207166969589,1.1694730379014988,1.1143753536345962,0,0
298,3.0921664510474023,3.1612180041814617,1.1516406302890736,1.114791692594922,0,0
299,3.1899619054044783,3.161228821250667,1.1098656587514828,1.1152082312212424,0,0
300,3.0939880147803236,3.1612396183996965,1.0943621815192053,1.1156249675457073,0,0
301,3.185871454860156,3.1612503958473988,1.058917386031801,1.116041899603026,0,0
302,3.099877426417788,3.161261153808997,1.0437973004333483,1.116459025430485,0,0
303,3.174587889137991,3.1612718924961043,1.0114308046056304,1.116876343067968,0,0
304,3.114444495469616,3.1612826121167408,0.9967342999295475,1.117293850557972,0,0
305,3.1578430512770788,3.1612933128753498,0.978506404501386,1.117711545945621,0,0
306,3.132800551193853,3.1613039949728177,0.9722900531676949,1.118129427278682,0,0
307,3.141950519086914,3.161314658606488,0.9723898935533908,1.118547492607573,0,0
308,3.147792525377048,3.161325303970184,0.9802857545326759,1.1189657399853759,0,0
309,3.130395130970656,3.161335931254223,0.9944757810703629,1.1193841674678433,0,0
310,3.1571380158925693,3.1613465406454417,1.0181329512440984,1.119802773113405,0,0
311,3.123582715853354,3.1613571323272125,1.0411342587943473,1.1202215549831733,0,0
312,3.162072179727538,3.161367706479465,1.076346685900616,1.1206405111409454,0,0
313,3.1195560956371025,3.1613782632787046,1.1033970240226139,1.1210596396532047,0,0
314,3.1660369244762685,3.16138880289804,1.1435725047001177,1.12147893858912,0,0
315,3.115331217948516,3.1613993255072006,1.1696349976710592,1.121898406020544,0,0
316,3.1711361005689818,3.1614098312725587,1.2074906754183146,1.1223180400220079,0,0
317,3.109791149443629,3.161420320357157,1.2277369077555722,1.1227378386707159,0,0
318,3.177661080930536,3.161430792920727,1.2556565717820143,1.1231578000465365,0,0
319,3.1031189701824573,3.161441249119718,1.2661171296374862,1.1235779222319944,0,0
320,3.1844972251912758,3.1614516891073183,1.2751289501417704,1.1239982033122566,0,0
321,3.0969398316914307,3.1614621130334832,1.2736960933599006,1.12441864137512,0,0
322,3.1889863206157827,3.16147252104496,1.2575875118445314,1.1248392345109959,0,0
323,3.0934538043647937,3.161482913285313,1.2458271500763631,1.1252599808128914,0,0
324,3.19086933172154,3.161493289894952,1.208202818950597,1.1256808783763905,0,0
325,3.092095644401363,3.1615036510111607,1.1906170396157738,1.1261019252996334,0,0
326,3.1909394051994298,3.161513996768124,1.1458238594830796,1.126523119683291,0,0
327,3.09259657107263,3.1615243272969544,1.1287463050004352,1.1269444596305414,0,0
328,3.188913252116855,3.161534642725728,1.089775831292154,1.1273659432470404,0,0
329,3.0954489182649927,3.161544943179504,1.0748747681586144,1.127787568640893,0,0
330,3.1826133954557796,3.1615552287803674,1.0404208758123228,1.128209333922621,0,0
331,3.1044116869374876,3.1615654996474505,1.0248001416614432,1.1286312372051295,0,0
332,3.1684976385634704,3.1615757558969695,0.996204796834118,1.12905327660367,0,0
333,3.1214325023437333,3.1615859976422556,0.9837935222333781,1.1294754502358035,0,0
334,3.1514378829927026,3.161596224993789,0.9728460463979999,1.1298977562213584,0,0
335,3.1391274301032497,3.16160643805923,0.9715108432702299,1.1303201926823885,0,0
336,3.1369866157701956,3.161616636943458,0.9774929294997105,1.1307427577431282,0,0
